Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedOnTime
F,Ship,4,3,142,3,medium,F,6,5930,No
A,Ship,3,1,237,2,low,M,9,4626,Yes
B,Ship,6,3,213,4,low,F,2,5349,No
C,Ship,5,1,241,2,medium,F,3,5391,Yes
F,Ship,2,2,170,3,high,F,7,4284,Yes
D,Ship,3,1,156,3,medium,M,9,4278,No
F,Ship,3,4,228,3,medium,F,8,5419,No
A,Ship,3,1,145,3,high,F,10,4364,No
B,Ship,4,1,145,3,low,M,3,5618,Yes
C,Ship,3,4,166,3,medium,F,8,4369,Yes
F,Ship,5,5,106,5,medium,F,4,4410,Yes
D,Ship,5,3,210,3,high,F,4,4819,No
F,Ship,2,1,235,3,medium,F,6,4411,Yes
A,Ship,4,2,142,2,medium,F,5,4062,No
B,Ship,3,4,271,3,low,F,9,4889,Yes
C,Ship,4,5,245,3,medium,F,2,5439,Yes
F,Ship,4,2,192,4,medium,F,2,5503,No
D,Ship,5,4,270,3,medium,M,9,4992,Yes
F,Ship,4,4,197,3,low,F,7,5099,No
A,Ship,2,1,255,3,medium,F,1,5929,No
B,Ship,5,3,223,2,medium,F,9,5735,No
C,Ship,3,5,256,3,low,M,7,4366,Yes
F,Ship,4,2,229,2,low,M,9,5026,No
D,Ship,3,3,233,3,low,F,5,4976,Yes
F,Ship,3,4,164,6,medium,F,4,5567,Yes
A,Ship,3,1,171,2,medium,F,6,5704,Yes
B,Ship,5,2,178,5,low,F,5,5167,No
C,Ship,3,1,233,2,high,M,1,5073,Yes
F,Ship,3,1,232,2,medium,F,2,5104,Yes
D,Ship,4,2,236,3,low,F,1,4076,No
F,Ship,3,2,197,3,medium,F,3,4491,No
A,Ship,3,3,152,3,low,M,6,5749,Yes
B,Ship,3,4,219,2,medium,M,7,4883,Yes
C,Ship,4,2,205,2,low,F,10,5580,No
F,Ship,3,2,142,2,low,M,7,4082,No
D,Ship,6,4,112,4,medium,F,9,4005,Yes
F,Ship,2,2,254,2,low,F,8,5827,No
A,Ship,4,3,256,3,high,F,1,4323,No
B,Ship,4,4,168,4,medium,F,4,4676,No
C,Ship,3,4,171,3,low,F,5,5872,No
F,Ship,6,5,215,4,medium,M,5,5409,Yes
D,Ship,3,3,169,3,low,F,9,4317,Yes
F,Ship,3,3,149,4,medium,F,3,5944,Yes
A,Ship,4,1,223,3,low,F,9,4832,No
B,Ship,5,3,224,2,low,M,6,5962,Yes
C,Ship,2,5,186,2,medium,M,10,4506,No
F,Ship,4,4,184,3,medium,F,2,5381,No
D,Ship,3,1,152,3,low,F,3,5839,Yes
F,Ship,5,3,249,2,low,F,9,4568,No
A,Ship,3,3,173,5,medium,F,10,5840,No
B,Ship,5,5,167,2,medium,M,2,5908,No
C,Ship,5,2,230,2,medium,M,9,4483,No
F,Road,5,3,237,3,low,F,8,5131,No
D,Road,3,4,202,5,high,M,5,4632,No
F,Road,4,3,134,4,low,M,3,5233,No
A,Road,5,3,263,3,medium,F,2,4688,No
B,Road,5,2,272,2,low,F,1,5412,No
C,Road,4,2,231,6,low,M,8,5227,No
F,Road,3,4,190,4,medium,F,7,5963,Yes
D,Road,5,4,223,2,low,M,5,4424,Yes
F,Road,5,1,257,3,medium,F,5,4355,No
A,Road,4,4,184,3,medium,M,2,4639,No
B,Road,3,5,193,3,medium,M,1,5810,Yes
C,Road,4,3,204,2,low,F,7,4717,Yes
F,Road,3,2,236,3,medium,M,8,5783,No
D,Road,5,3,222,2,medium,M,3,4460,Yes
F,Road,4,1,140,5,medium,M,6,4001,Yes
A,Road,3,1,204,3,high,F,9,5093,No
B,Road,3,2,271,2,medium,M,6,5280,Yes
C,Road,3,1,108,6,medium,F,7,4024,No
F,Road,4,1,206,3,low,F,4,4745,No
D,Road,3,2,180,2,high,F,8,4408,No
F,Road,3,2,193,3,low,F,7,5224,No
A,Road,5,1,238,4,medium,M,10,4668,No
B,Flight,5,3,234,3,low,F,6,4632,No
C,Flight,2,5,271,2,low,F,5,5164,Yes
F,Flight,5,2,102,5,medium,F,3,4784,No
D,Flight,3,1,185,3,medium,M,7,5474,Yes
F,Flight,4,1,273,2,high,F,10,5832,Yes
A,Flight,6,3,233,6,low,F,9,4814,No
B,Flight,5,3,191,2,medium,M,7,5783,Yes
C,Flight,4,4,239,2,medium,M,4,4304,Yes
F,Flight,3,3,270,3,low,M,7,4152,No
D,Flight,5,2,279,4,low,F,8,4418,Yes
F,Flight,5,1,233,4,high,M,2,4615,Yes
A,Flight,3,3,178,4,high,M,3,4154,Yes
B,Flight,3,4,184,4,medium,M,2,4052,No
C,Flight,3,5,202,3,low,M,2,5208,No
F,Flight,3,3,149,2,medium,M,3,4527,No
D,Flight,5,2,133,2,high,F,2,4556,No
F,Flight,4,4,224,5,low,F,9,4902,Yes
A,Flight,4,2,252,2,medium,F,6,5414,No
B,Flight,4,3,208,2,medium,M,6,4276,Yes
C,Flight,5,3,256,2,low,M,3,4456,No
F,Flight,3,5,206,4,medium,M,10,4321,Yes
D,Flight,2,1,177,4,low,F,5,4358,No
F,Ship,4,4,269,4,medium,F,3,5032,Yes
A,Ship,3,5,216,3,high,F,2,4242,No
B,Ship,3,2,221,3,high,F,7,5477,No
C,Ship,5,4,210,3,medium,F,6,5102,No
F,Ship,4,5,205,3,medium,F,9,4411,No
D,Ship,3,3,237,3,low,F,7,4062,No
F,Ship,5,4,139,2,medium,F,2,4217,Yes
A,Ship,4,4,163,3,low,M,3,4185,Yes
B,Ship,4,4,171,2,low,M,4,4962,No
C,Ship,4,3,261,3,low,F,9,5994,Yes
F,Ship,4,3,195,2,low,M,8,4576,No
D,Ship,4,2,190,6,high,M,5,4139,Yes
F,Ship,5,5,236,3,high,M,4,5724,Yes
A,Ship,3,4,254,3,medium,M,6,5716,No
B,Ship,3,3,157,3,medium,M,10,4877,No
C,Ship,3,1,245,3,medium,F,1,5325,No
F,Ship,4,1,144,4,medium,M,8,4303,No
D,Ship,5,3,217,4,low,M,3,5718,Yes
F,Ship,3,3,249,2,low,F,2,5078,No
A,Ship,3,2,176,2,low,F,2,5083,No
B,Ship,3,1,230,2,low,F,1,4970,Yes
C,Ship,3,5,204,2,medium,F,5,4504,Yes
F,Ship,4,4,266,2,low,F,5,5601,No
D,Ship,4,3,213,3,low,F,2,5722,No
F,Ship,3,4,147,3,low,F,8,5525,No
A,Ship,3,1,201,3,low,F,3,4556,Yes
B,Ship,2,4,248,3,low,F,5,5441,No
C,Ship,4,3,167,3,medium,M,5,5791,No
F,Ship,3,4,232,2,low,M,10,5678,No
D,Ship,5,3,163,3,medium,M,9,4419,Yes
F,Ship,4,4,201,5,medium,M,3,5901,Yes
A,Ship,4,5,252,2,low,F,9,4157,No
B,Ship,3,1,146,4,low,F,10,4583,No
C,Ship,5,1,160,3,medium,M,3,5839,No
F,Ship,5,2,167,4,low,M,10,4325,No
D,Ship,4,2,224,2,medium,F,8,4781,Yes
F,Ship,4,2,239,3,medium,F,5,5978,No
A,Ship,4,1,151,6,low,M,7,4387,No
B,Ship,4,5,264,3,low,F,10,5972,No
C,Ship,4,2,242,3,medium,M,8,4644,Yes
F,Ship,3,3,204,4,high,M,9,4712,No
D,Ship,3,5,260,2,medium,M,1,5970,No
F,Ship,3,2,279,3,medium,F,6,4560,No
A,Ship,3,4,225,4,low,F,8,5209,No
B,Ship,3,5,190,3,low,M,9,4468,No
C,Ship,4,2,152,2,low,M,7,5026,No
F,Ship,3,2,201,6,medium,M,7,4723,Yes
D,Ship,3,2,191,2,medium,M,7,5357,No
F,Ship,4,3,140,3,low,M,1,4453,No
A,Ship,5,3,199,4,medium,F,8,5362,No
B,Ship,4,1,194,3,medium,F,6,5282,No
C,Ship,4,2,273,2,low,F,5,5608,Yes
F,Ship,4,5,259,2,medium,F,4,4092,Yes
D,Ship,4,3,180,3,medium,M,5,4038,Yes
F,Ship,5,3,251,2,low,M,9,4458,No
A,Ship,5,1,269,3,low,F,5,5031,No
B,Ship,6,3,274,6,medium,F,2,4281,No
C,Ship,5,5,250,2,medium,M,10,5475,Yes
F,Ship,3,5,265,3,medium,F,8,5980,No
D,Ship,4,3,169,10,medium,F,6,5106,Yes
F,Ship,3,4,211,3,high,M,8,5191,Yes
A,Ship,4,4,245,2,low,M,6,5772,No
B,Ship,4,1,188,2,low,M,6,5894,Yes
C,Ship,3,5,244,2,medium,F,10,4064,Yes
F,Ship,3,5,233,3,medium,F,7,5787,No
D,Ship,3,1,144,3,medium,F,6,4163,No
F,Ship,3,5,221,2,low,F,6,5289,No
A,Ship,3,5,267,2,high,M,2,5062,Yes
B,Ship,3,1,211,3,high,F,7,5178,No
C,Ship,4,1,205,3,low,F,10,4923,No
F,Ship,3,2,144,3,high,M,1,5307,No
D,Ship,3,3,195,7,medium,F,4,4614,No
F,Ship,5,5,232,7,medium,M,6,5139,No
A,Ship,5,3,199,10,medium,F,1,5865,No
B,Ship,5,5,232,3,low,F,5,5338,No
C,Ship,5,4,272,2,low,F,1,5983,Yes
F,Ship,2,4,167,2,medium,M,1,4344,No
D,Ship,3,4,272,8,high,F,10,4070,No
F,Ship,6,2,247,4,low,M,10,1556,No
A,Ship,5,5,275,4,medium,M,9,1215,Yes
B,Ship,6,4,291,4,low,F,8,1131,No
C,Ship,6,5,265,4,low,M,7,1404,Yes
F,Ship,7,3,250,5,medium,F,4,1163,Yes
D,Ship,7,2,291,4,low,F,8,1275,No
F,Ship,6,5,255,4,low,F,9,1197,No
A,Ship,6,5,290,4,medium,M,2,1867,Yes
B,Ship,5,5,276,4,low,M,2,1411,Yes
C,Ship,4,1,149,3,medium,F,8,1136,No
F,Ship,3,3,201,6,medium,M,2,4984,No
D,Ship,3,4,191,2,medium,M,8,5667,Yes
F,Ship,4,4,140,3,low,F,4,5924,Yes
A,Ship,5,4,199,4,medium,M,2,4902,Yes
B,Ship,4,1,194,3,medium,F,9,5804,No
C,Road,4,5,273,2,low,F,9,5724,No
F,Road,4,4,259,2,medium,F,8,4672,No
D,Road,4,5,180,3,medium,F,1,5088,No
F,Road,5,4,251,2,low,F,3,5347,Yes
A,Road,5,3,269,3,low,F,8,4811,No
B,Road,6,3,274,6,medium,F,1,4632,No
C,Road,5,2,250,2,medium,F,6,5565,No
F,Road,3,3,265,3,medium,F,3,5241,No
D,Road,4,5,169,10,medium,F,6,4385,No
F,Road,3,3,211,3,high,F,4,4354,Yes
A,Road,4,1,245,2,low,M,5,5324,Yes
B,Road,4,5,188,2,low,F,4,4433,No
C,Road,3,5,244,2,medium,M,8,5715,Yes
F,Road,3,4,233,3,medium,F,10,4626,No
D,Road,3,4,144,3,medium,M,8,5867,Yes
F,Road,3,1,221,2,low,F,7,5320,No
A,Road,3,5,267,2,high,M,1,4195,Yes
B,Road,3,4,211,3,high,M,1,5144,No
C,Road,4,4,205,3,low,M,6,4254,No
F,Road,3,2,144,3,high,F,9,4428,Yes
D,Road,3,4,195,7,medium,F,9,5829,No
F,Road,5,3,232,7,medium,M,6,5285,Yes
A,Flight,5,1,199,10,medium,F,8,4140,No
B,Flight,5,5,232,3,low,F,3,5718,Yes
C,Flight,5,3,272,2,low,F,4,5112,No
F,Flight,2,2,167,2,medium,F,3,5894,Yes
D,Flight,3,3,272,8,high,M,7,5257,Yes
F,Flight,6,4,247,4,low,F,2,1326,No
A,Flight,5,2,275,4,medium,F,10,1141,Yes
B,Flight,6,5,291,4,low,M,9,1413,No
C,Flight,6,1,265,4,low,F,7,1644,Yes
F,Flight,7,2,250,5,medium,M,9,1327,No
D,Flight,7,1,291,4,low,M,2,1216,Yes
F,Flight,6,1,255,4,low,F,2,1385,No
A,Flight,6,2,290,4,medium,F,9,1339,No
B,Flight,6,3,247,4,medium,F,4,1476,Yes
C,Flight,6,2,152,2,low,F,9,1993,No
F,Flight,7,5,278,4,low,F,5,1572,Yes
D,Flight,6,1,260,4,medium,F,2,1131,No
F,Flight,6,3,254,4,low,M,6,1335,No
A,Flight,2,4,151,4,low,F,6,1803,No
B,Flight,2,5,198,2,medium,M,4,1913,Yes
C,Flight,6,4,243,4,low,M,9,1353,Yes
F,Flight,6,5,245,4,low,F,8,1403,No
D,Ship,6,4,300,4,low,F,8,1301,Yes
F,Ship,6,1,303,4,medium,F,10,1003,No
A,Ship,7,3,286,4,low,F,3,1670,No
B,Ship,7,2,248,4,medium,F,1,1163,Yes
C,Ship,6,5,244,4,low,M,9,1789,Yes
F,Ship,7,1,290,4,low,F,9,1885,No
D,Ship,4,3,260,5,low,M,10,1832,Yes
F,Ship,6,5,310,4,medium,M,1,1105,Yes
A,Ship,6,3,247,4,low,M,3,1616,Yes
B,Ship,6,5,281,4,low,M,8,1241,Yes
C,Ship,6,3,260,4,medium,M,9,1800,No
F,Ship,6,1,263,4,low,F,6,1153,No
D,Ship,5,1,285,4,medium,F,10,1428,No
F,Ship,3,4,269,3,medium,M,9,5133,Yes
A,Ship,2,5,205,6,low,M,2,5671,No
B,Ship,3,2,109,3,low,M,4,5746,No
C,Ship,5,4,216,2,low,F,6,4535,No
F,Ship,3,2,184,3,medium,F,8,4994,No
D,Ship,4,4,106,2,low,M,6,5984,No
F,Ship,3,1,228,2,low,F,5,4456,Yes
A,Ship,4,5,140,3,medium,F,8,4956,No
B,Ship,4,3,251,3,medium,M,5,4206,No
C,Ship,3,3,153,3,medium,M,5,4578,Yes
F,Ship,4,4,176,2,medium,F,1,5793,No
D,Ship,4,3,206,2,medium,F,4,5194,Yes
F,Ship,3,3,189,2,low,F,9,4690,No
A,Ship,2,2,251,6,medium,F,1,4165,Yes
B,Ship,4,3,155,3,low,F,1,4360,Yes
C,Ship,6,4,260,5,medium,M,2,4687,Yes
F,Ship,5,1,156,6,medium,F,4,4821,No
D,Ship,4,2,225,2,medium,M,7,5241,Yes
F,Ship,6,5,284,4,medium,M,8,5346,Yes
A,Ship,5,3,263,2,low,M,3,4474,Yes
B,Ship,3,3,238,2,medium,M,2,5512,No
C,Ship,5,4,267,2,low,M,7,5292,No
F,Ship,3,3,101,2,medium,M,9,4860,No
D,Ship,3,1,175,3,medium,M,1,4872,No
F,Ship,4,5,261,2,low,M,3,4119,No
A,Ship,5,3,150,3,low,M,10,4799,Yes
B,Ship,3,5,206,4,medium,F,2,5829,Yes
C,Ship,4,4,254,4,low,F,10,4827,No
F,Ship,4,2,159,3,low,M,5,4985,Yes
D,Ship,2,5,284,3,medium,M,6,4575,No
F,Ship,3,1,170,2,low,M,9,4112,No
A,Ship,4,5,245,3,low,F,7,4297,No
B,Ship,4,5,152,3,medium,M,5,5191,No
C,Ship,5,4,193,4,high,F,4,5757,Yes
F,Ship,5,3,231,2,low,M,8,5743,Yes
D,Ship,4,1,212,3,low,M,3,4896,No
F,Ship,3,4,185,2,medium,M,8,5449,Yes
A,Ship,4,3,223,3,low,F,10,5560,Yes
B,Ship,4,1,241,4,medium,M,9,5360,No
C,Ship,5,4,215,3,low,F,5,5552,Yes
F,Ship,4,5,261,2,medium,M,6,5920,No
D,Ship,4,3,158,5,medium,F,7,4344,Yes
F,Ship,3,3,166,2,medium,F,8,5871,No
A,Ship,4,3,280,6,high,M,8,4525,No
B,Ship,3,2,264,3,low,F,8,5831,No
C,Ship,3,3,204,2,medium,M,6,5612,No
F,Ship,4,4,261,2,medium,F,9,5306,Yes
D,Ship,6,4,138,3,medium,F,4,4225,No
F,Ship,4,4,225,2,medium,M,10,4829,Yes
A,Ship,4,4,238,5,low,M,1,4753,No
B,Ship,4,5,234,3,medium,F,3,5142,Yes
C,Ship,4,2,237,3,low,F,7,4785,No
F,Ship,3,3,165,3,medium,F,4,5924,Yes
D,Ship,2,1,148,2,low,M,10,5939,Yes
F,Ship,5,1,148,4,high,M,2,5821,Yes
A,Ship,3,3,218,3,low,F,4,5086,Yes
B,Ship,4,5,218,6,low,M,5,4364,Yes
C,Ship,4,3,181,4,low,F,8,5106,No
F,Ship,2,1,138,2,low,M,8,4932,Yes
D,Ship,3,4,206,3,high,M,5,4022,No
F,Ship,5,1,172,2,high,F,7,5165,No
A,Ship,4,2,160,2,high,F,5,4343,No
B,Ship,5,2,225,4,low,M,1,4328,Yes
C,Ship,6,5,206,6,low,M,2,4014,Yes
F,Ship,5,5,232,3,low,F,2,4545,Yes
D,Ship,3,4,232,3,low,F,6,4050,No
F,Ship,3,4,197,2,low,F,3,4865,No
A,Ship,5,1,246,3,low,F,3,5013,No
B,Ship,3,4,241,3,medium,M,3,4047,No
C,Ship,6,5,211,4,medium,F,4,4032,No
F,Ship,3,3,162,2,low,F,9,4903,No
D,Ship,3,1,264,4,low,M,10,4265,No
F,Ship,5,3,211,3,low,F,5,5087,No
A,Ship,4,5,159,5,low,F,7,4063,No
B,Ship,5,5,166,2,high,F,2,4562,Yes
C,Ship,4,4,163,6,medium,M,1,4584,No
F,Ship,4,3,164,2,low,M,3,5735,No
D,Ship,5,1,255,3,high,M,6,4044,Yes
F,Ship,4,3,153,3,medium,F,6,5748,No
A,Ship,3,1,165,2,low,M,6,4445,No
B,Road,3,2,162,3,medium,M,6,4505,Yes
C,Road,3,1,223,3,low,M,8,5318,No
F,Road,3,4,200,2,medium,F,6,4751,Yes
D,Road,3,5,194,3,medium,F,3,4435,Yes
F,Road,3,1,257,2,low,M,6,4897,Yes
A,Road,2,1,188,2,low,M,5,5250,No
B,Road,3,4,221,3,medium,F,1,5391,No
C,Road,4,4,193,2,low,F,6,4855,Yes
F,Road,3,1,166,2,low,M,2,5710,Yes
D,Road,4,4,212,2,medium,M,8,4239,No
F,Road,3,2,252,3,medium,M,7,4507,No
A,Road,3,1,155,2,low,M,7,4221,Yes
B,Road,4,5,244,4,medium,F,2,5365,Yes
C,Road,3,3,162,2,medium,M,7,5719,Yes
F,Road,2,1,228,2,medium,M,10,4854,Yes
D,Road,4,3,208,3,medium,F,3,4837,Yes
F,Road,5,3,156,3,medium,M,7,4293,No
A,Road,3,1,209,2,high,F,1,5779,Yes
B,Road,4,5,203,2,medium,F,8,4450,Yes
C,Road,4,4,196,5,high,F,7,4622,No
F,Road,4,4,256,3,low,M,8,4398,No
D,Road,4,5,159,4,medium,F,4,4816,No
F,Flight,5,5,137,4,low,M,4,5888,No
A,Flight,2,5,271,3,low,M,4,5775,No
B,Flight,5,1,264,2,medium,F,3,4056,Yes
C,Flight,2,2,264,3,medium,M,1,4518,No
F,Flight,4,3,205,2,medium,M,10,4178,Yes
D,Flight,5,1,266,3,low,M,10,5858,No
F,Flight,5,4,200,3,medium,F,8,5206,Yes
A,Flight,4,4,154,6,medium,F,10,4361,Yes
B,Flight,3,2,178,3,low,M,4,5119,Yes
C,Flight,5,2,198,3,low,F,7,5768,Yes
F,Flight,3,4,218,2,medium,M,2,5973,No
D,Flight,4,4,185,3,high,F,6,4238,Yes
F,Flight,3,4,235,3,low,M,4,5498,No
A,Flight,3,5,251,3,high,F,4,4156,Yes
B,Flight,5,2,275,5,low,F,9,5168,Yes
C,Flight,5,2,156,5,low,M,9,5237,No
F,Flight,3,5,135,3,low,M,3,4938,No
D,Flight,4,1,143,3,medium,M,4,4283,No
F,Flight,5,1,240,3,high,M,10,5277,No
A,Flight,5,2,131,5,low,F,4,4600,Yes
B,Flight,4,5,142,3,medium,M,2,5692,No
C,Flight,5,4,275,4,low,F,7,4597,No
F,Ship,5,5,137,3,low,M,5,5914,Yes
D,Ship,3,3,165,4,medium,M,3,4235,No
F,Ship,5,4,250,2,low,F,10,4277,No
A,Ship,4,2,242,3,medium,M,10,4721,No
B,Ship,3,3,181,3,medium,F,3,5620,Yes
C,Ship,4,4,211,3,medium,M,5,4812,No
F,Ship,2,2,177,4,low,M,8,5878,Yes
D,Ship,3,3,135,3,medium,M,2,5860,No
F,Ship,6,4,151,3,low,F,10,5414,Yes
A,Ship,5,4,250,6,low,F,1,4343,No
B,Ship,5,5,191,4,medium,F,10,4933,Yes
C,Ship,2,4,158,5,medium,F,2,4303,Yes
F,Ship,3,3,229,2,medium,F,1,5670,No
D,Ship,4,5,169,4,low,M,6,4168,Yes
F,Ship,5,1,164,3,low,M,7,4540,Yes
A,Ship,4,1,177,2,medium,M,6,5566,No
B,Ship,4,4,193,3,medium,M,8,4715,Yes
C,Ship,4,1,198,3,medium,F,1,4090,No
F,Ship,3,1,268,3,low,M,2,4746,Yes
D,Ship,3,3,269,3,high,M,8,5910,No
F,Ship,4,3,275,3,low,F,3,4824,No
A,Ship,5,5,233,3,high,M,5,5330,No
B,Ship,2,5,259,3,low,M,3,4770,Yes
C,Ship,3,5,239,6,low,F,8,5791,Yes
F,Ship,3,2,134,3,medium,F,3,5232,No
D,Ship,5,4,131,8,low,M,7,4471,No
F,Ship,4,2,194,8,medium,M,10,5995,No
A,Ship,4,5,261,3,high,F,2,4954,Yes
B,Ship,4,2,254,10,high,M,7,5820,No
C,Ship,4,1,161,6,low,F,2,5734,No
F,Ship,4,5,227,2,low,M,7,4414,No
D,Ship,3,1,165,3,high,F,10,4208,No
F,Ship,3,2,156,7,medium,F,9,5313,Yes
A,Ship,3,3,262,7,high,F,9,5097,No
B,Ship,4,3,263,3,low,M,4,4150,Yes
C,Ship,4,2,196,3,low,M,1,5172,Yes
F,Ship,6,1,152,2,low,F,3,1340,No
D,Ship,7,1,278,4,low,M,10,1508,Yes
F,Ship,6,4,260,4,medium,M,1,1726,No
A,Ship,6,5,254,4,low,M,7,1674,No
B,Ship,2,4,151,4,low,F,2,1150,No
C,Ship,2,3,198,2,medium,F,6,1996,No
F,Ship,6,2,243,4,low,M,9,1258,Yes
D,Ship,6,2,245,4,low,F,10,1448,No
F,Ship,3,5,268,3,low,F,6,5603,No
A,Ship,3,3,269,3,high,F,6,4260,Yes
B,Ship,4,4,275,3,low,M,10,5674,Yes
C,Ship,5,2,233,3,high,M,7,5323,Yes
F,Ship,2,2,259,3,low,M,6,4840,Yes
D,Ship,3,3,239,6,low,M,7,4501,Yes
F,Ship,3,3,134,3,medium,F,8,4950,No
A,Ship,5,3,131,8,low,F,5,4149,Yes
B,Ship,4,5,194,8,medium,F,9,4843,Yes
C,Ship,4,2,261,3,high,M,1,4931,No
F,Ship,4,5,254,10,high,M,7,5524,Yes
D,Ship,4,3,161,6,low,M,6,5560,Yes
F,Ship,4,4,227,2,low,F,7,4916,No
A,Ship,3,4,165,3,high,M,10,4910,No
B,Ship,3,3,156,7,medium,M,2,5467,No
C,Ship,3,2,262,7,high,M,5,5985,Yes
F,Ship,4,3,263,3,low,F,3,5253,No
D,Ship,4,3,196,3,low,F,10,4194,Yes
F,Ship,6,2,152,2,low,M,6,1711,No
A,Ship,7,3,278,4,low,F,8,1909,Yes
B,Ship,6,5,260,4,medium,F,10,1799,No
C,Ship,6,2,254,4,low,M,4,1392,No
F,Ship,2,3,151,4,low,F,3,1353,Yes
D,Ship,2,3,198,2,medium,F,6,1730,Yes
F,Ship,5,2,285,4,medium,F,7,1666,Yes
A,Ship,7,1,306,4,medium,M,5,1467,No
B,Ship,6,4,291,4,low,F,5,1327,No
C,Ship,6,3,292,4,low,M,8,1925,No
F,Ship,6,2,293,5,low,F,3,1969,No
D,Ship,6,4,275,4,low,F,3,1182,No
F,Ship,6,5,274,4,low,M,6,1066,No
A,Ship,7,2,310,4,low,F,7,1294,No
B,Ship,6,5,292,4,low,M,4,1762,Yes
C,Ship,6,3,256,5,low,F,1,1980,No
F,Ship,7,4,295,4,low,M,5,1239,No
D,Ship,3,5,149,2,medium,M,5,1023,No
F,Ship,6,5,294,4,medium,F,2,1273,Yes
A,Ship,6,3,281,4,medium,F,7,1599,Yes
B,Ship,6,4,294,4,medium,M,6,1112,No
C,Ship,6,5,249,4,low,F,8,1274,No
F,Ship,6,5,276,4,medium,F,6,1005,Yes
D,Ship,7,5,284,4,medium,F,8,1148,Yes
F,Ship,4,5,134,3,low,F,1,1008,No
A,Ship,6,3,271,4,medium,F,1,1733,No
B,Ship,6,2,244,4,medium,F,1,1406,Yes
C,Ship,6,1,264,4,low,M,10,1960,No
F,Ship,6,5,275,4,low,M,8,1553,Yes
D,Ship,7,3,310,4,medium,F,7,1989,No
F,Ship,6,2,301,5,medium,F,3,1586,No
A,Road,6,3,247,4,medium,F,9,1011,No
B,Road,4,2,224,2,low,M,9,5603,Yes
C,Road,3,5,242,2,low,F,6,5635,No
F,Road,4,1,145,2,low,F,2,5209,No
D,Road,4,1,150,2,low,M,5,4140,No
F,Road,4,4,266,3,low,M,4,5905,No
A,Road,5,1,260,2,low,M,4,5580,No
B,Road,4,1,259,3,medium,M,5,4435,Yes
C,Road,4,3,192,3,low,F,10,4068,No
F,Road,3,1,149,3,medium,M,5,4805,Yes
D,Road,4,1,133,2,medium,M,1,5274,Yes
F,Road,4,4,145,3,medium,F,3,5424,Yes
A,Road,3,4,186,3,high,M,1,5922,Yes
B,Road,5,3,267,3,medium,F,8,5786,Yes
C,Road,3,3,157,4,medium,F,2,5684,No
F,Road,4,2,174,3,low,F,3,5920,No
D,Road,4,4,216,2,low,F,4,5984,No
F,Road,4,3,143,3,low,F,2,4693,No
A,Road,5,1,135,3,low,M,3,4939,Yes
B,Road,4,2,222,3,low,M,4,5919,No
C,Road,6,2,140,2,high,M,1,4053,No
F,Road,4,2,209,2,medium,F,9,5131,No
D,Flight,3,5,162,2,low,M,4,4495,No
F,Flight,5,2,152,4,medium,M,6,5596,No
A,Flight,4,2,236,3,medium,M,9,4725,No
B,Flight,4,5,192,4,low,F,10,4691,No
C,Flight,5,2,233,3,high,F,4,4140,No
F,Flight,3,5,156,3,medium,F,2,4190,Yes
D,Flight,5,1,257,3,medium,M,7,4133,No
F,Flight,4,5,228,4,low,M,4,4750,No
A,Flight,5,1,262,2,high,M,9,5008,No
B,Flight,3,1,203,2,low,M,2,4647,Yes
C,Flight,4,5,217,4,medium,F,3,5966,No
F,Flight,3,1,197,5,medium,F,6,5919,No
D,Flight,3,5,217,3,low,M,9,4306,No
F,Flight,3,2,200,4,medium,F,4,4918,No
A,Flight,4,3,181,3,medium,M,10,4541,Yes
B,Flight,4,1,212,3,low,M,2,4353,Yes
C,Flight,5,3,217,2,low,F,4,5588,No
F,Flight,5,4,240,4,medium,F,2,5215,No
D,Flight,3,1,161,3,low,M,9,4865,Yes
F,Flight,3,4,157,3,medium,F,6,5611,No
A,Flight,4,5,133,3,medium,M,4,5180,Yes
B,Flight,4,3,138,3,low,F,2,5593,No
C,Ship,4,3,158,3,high,M,1,5089,Yes
F,Ship,5,2,243,3,high,M,2,5734,Yes
D,Ship,3,2,189,3,medium,M,2,4718,No
F,Ship,2,4,272,2,medium,M,4,4632,No
A,Ship,4,4,168,3,low,M,6,5488,Yes
B,Ship,4,4,157,3,medium,F,10,5041,Yes
C,Ship,3,5,217,2,medium,F,6,5182,No
F,Ship,5,3,237,4,low,F,8,5432,No
D,Ship,4,3,133,2,low,M,9,4145,No
F,Ship,3,4,243,2,medium,M,1,5840,Yes
A,Ship,5,3,273,4,medium,M,2,4186,Yes
B,Ship,5,4,202,5,low,F,6,5230,Yes
C,Ship,5,5,240,2,low,F,7,4409,Yes
F,Ship,3,5,275,3,low,M,6,5148,No
D,Ship,3,5,274,3,medium,M,5,4710,Yes
F,Ship,4,3,272,3,low,F,4,5654,No
A,Ship,2,4,126,5,medium,M,2,5461,No
B,Ship,5,3,215,2,medium,F,10,5194,Yes
C,Ship,2,5,175,5,low,F,8,4269,No
F,Ship,4,3,149,6,medium,M,5,5456,Yes
D,Ship,6,1,145,3,medium,F,1,4346,Yes
F,Ship,6,1,257,4,medium,F,3,5656,Yes
A,Ship,4,3,136,3,medium,M,10,4299,Yes
B,Ship,5,3,163,6,low,M,6,4349,No
C,Ship,3,4,256,3,low,M,7,5013,Yes
